,metal,ox,ligstr,complex.size,spin,geom
594,cr,3.0,ncs_ncs_ncs_cyanopyridine,22.0,4.0,tetrahedral
595,cr,3.0,ncs_ncs_ncs_hydroxyl,12.0,4.0,tetrahedral
596,cr,3.0,ncs_ncs_ncs_pyridine,21.0,4.0,tetrahedral
597,cr,3.0,ncs_ncs_ncs_thiopyridine,22.0,4.0,tetrahedral
598,cr,3.0,scn_ncs_ncs_ncs,13.0,4.0,tetrahedral
599,cr,3.0,scn_scn_ncs_ncs,13.0,4.0,tetrahedral
600,cr,3.0,scn_scn_scn_formaldehyde,14.0,4.0,tetrahedral
601,cr,3.0,scn_scn_scn_ncs,13.0,4.0,tetrahedral
602,fe,2.0,cyanate_cyanate_formaldehyde_formaldehyde,15.0,5.0,tetrahedral
603,fe,2.0,cyanate_cyanate_cyanate_formaldehyde,14.0,5.0,tetrahedral
604,fe,2.0,formaldehyde_furan_furan_furan,32.0,5.0,tetrahedral
605,fe,2.0,formaldehyde_hydrogensulfide_hydrogensulfide_hydrogensulfide,14.0,5.0,tetrahedral
606,fe,2.0,formaldehyde_pyridine_pyridine_pyridine,38.0,5.0,tetrahedral
607,fe,2.0,formaldehyde_formaldehyde_furan_furan,27.0,5.0,tetrahedral
608,fe,2.0,formaldehyde_formaldehyde_hydrogensulfide_hydrogensulfide,15.0,5.0,tetrahedral
609,fe,2.0,formaldehyde_formaldehyde_pyridine_pyridine,31.0,5.0,tetrahedral
610,fe,2.0,formaldehyde_formaldehyde_formaldehyde_furan,22.0,5.0,tetrahedral
611,fe,2.0,formaldehyde_formaldehyde_formaldehyde_hydrogensulfide,16.0,5.0,tetrahedral
612,fe,2.0,formaldehyde_formaldehyde_formaldehyde_pyridine,24.0,5.0,tetrahedral
613,fe,2.0,ncs_formaldehyde_formaldehyde_formaldehyde,16.0,5.0,tetrahedral
614,fe,2.0,ncs_furan_furan_furan,31.0,5.0,tetrahedral
615,fe,2.0,ncs_hydrogensulfide_hydrogensulfide_hydrogensulfide,13.0,5.0,tetrahedral
616,fe,2.0,ncs_pyridine_pyridine_pyridine,37.0,5.0,tetrahedral
617,fe,2.0,ncs_ncs_cyanate_cyanate,13.0,5.0,tetrahedral
618,fe,2.0,ncs_ncs_formaldehyde_formaldehyde,15.0,5.0,tetrahedral
619,fe,2.0,ncs_ncs_pyridine_pyridine,29.0,5.0,tetrahedral
620,fe,2.0,ncs_ncs_ncs_pyridine,21.0,5.0,tetrahedral
621,fe,2.0,scn_formaldehyde_formaldehyde_formaldehyde,16.0,5.0,tetrahedral
622,fe,2.0,scn_ncs_ncs_ncs,13.0,5.0,tetrahedral
623,fe,2.0,scn_scn_formaldehyde_formaldehyde,15.0,5.0,tetrahedral
624,fe,2.0,scn_scn_ncs_ncs,13.0,5.0,tetrahedral
625,fe,2.0,scn_scn_scn_formaldehyde,14.0,5.0,tetrahedral
626,fe,2.0,scn_scn_scn_ncs,13.0,5.0,tetrahedral
627,fe,3.0,acetonitrile_formaldehyde_formaldehyde_formaldehyde,19.0,6.0,tetrahedral
